"","Country","Year","Birth_Skilled_Professional","Mortality_Ratio1","Gross_Income"
"1685","Guinea","1990",NA,1040,690
"1695","Guinea","2000",NA,976,880
"1707","Guinea","2012",45.3,NA,1140
"1710","Guinea-Bissau","1990",NA,907,930
"1720","Guinea-Bissau","2000",NA,800,560
"1736","Guyana","1990",NA,171,1450
"1746","Guyana","2000",NA,210,3730
"1784","Haiti","2012",37.3,NA,1640
"1787","Honduras","1990",NA,272,1900
"1797","Honduras","2000",NA,133,2680
"1808","Honduras","2011",82.8,NA,4110
"1812","Hungary","1990",NA,24,8540
"1822","Hungary","2000",NA,15,11310
"1832","Hungary","2010",99.1,NA,20140
"1837","Iceland","1990",NA,7,20580
"1847","Iceland","2000",NA,5,28070
"1862","India","1990",NA,556,1160
"1872","India","2000",NA,374,2040
"1885","India","2013",74.4,NA,5350
"1887","Indonesia","1990",NA,446,2660
"1897","Indonesia","2000",NA,265,4010
"1910","Indonesia","2013",87.4,NA,9260
"1912","Iran (Islamic Republic of)","1990",NA,123,5620
"1922","Iran (Islamic Republic of)","2000",NA,51,8490
"1958","Iraq","2011",90.9,NA,13620
"1962","Ireland","1990",NA,11,12050
"1972","Ireland","2000",NA,9,24930
"1987","Israel","1990",NA,11,13100
"1997","Israel","2000",NA,8,21480
"2012","Italy","1990",NA,8,17360
"2022","Italy","2000",NA,5,25590
"2035","Italy","2013",99.9,NA,34100
"2037","Jamaica","1990",NA,79,4330
"2047","Jamaica","2000",NA,89,6210
"2058","Jamaica","2011",98.6,NA,8170
"2062","Japan","1990",NA,14,19370
"2072","Japan","2000",NA,10,26260
"2088","Jordan","1990",NA,110,4340
"2098","Jordan","2000",NA,77,6180
"2110","Jordan","2012",99.6,NA,11390
"2123","Kazakhstan","2000",NA,65,7170
"2133","Kazakhstan","2010",99.5,NA,16710
"2138","Kenya","1990",NA,687,1250
"2148","Kenya","2000",NA,759,1420
"2164","Kiribati","1990",NA,234,1600
"2174","Kiribati","2000",NA,166,2320
"2183","Kiribati","2009",79.8,NA,2430
"2199","Kuwait","2000",NA,7,75580
"2214","Kyrgyzstan","1990",NA,80,2250
"2224","Kyrgyzstan","2000",NA,74,1550
"2240","Lao People's Democratic Republic","1990",NA,905,1050
"2250","Lao People's Democratic Republic","2000",NA,546,1770
"2261","Lao People's Democratic Republic","2011",40.1,NA,3840
"2265","Latvia","1990",NA,48,7810
"2275","Latvia","2000",NA,30,8050
"2291","Lebanon","1990",NA,74,6110
"2301","Lebanon","2000",NA,42,9970
"2305","Lebanon","2004",98.2,NA,10250
"2316","Lesotho","1990",NA,629,1410
"2326","Lesotho","2000",NA,649,1710
"2352","Liberia","2000",NA,1270,360
"2365","Liberia","2013",61.1,NA,790
"2392","Lithuania","1990",NA,29,9300
"2402","Lithuania","2000",NA,16,8480
"2408","Lithuania","2006",100,NA,16430
"2417","Luxembourg","1990",NA,12,28820
"2427","Luxembourg","2000",NA,13,46800
"2436","Luxembourg","2009",99.9,NA,52190
"2442","Madagascar","1990",NA,778,1040
"2452","Madagascar","2000",NA,536,1130
"2464","Madagascar","2012",44.3,NA,1340
"2467","Malawi","1990",NA,957,340
"2477","Malawi","2000",NA,890,490
"2490","Malawi","2013",87.4,NA,750
"2492","Malaysia","1990",NA,79,6300
"2502","Malaysia","2000",NA,58,11440
"2540","Maldives","2012",95.5,NA,9310
